,sent,CODA,prep
1088,سياحة,سياحة,سياحة
1089,انا جيت من اسبانيا,انا جيت من اسبانيا,انا جيت من اسبانيا
1090,في حاجة غلط في مفتاح البطاقة ممكن تديني واحد تاني من فضلك,في حاجة غلط في مفتاح البطاقة ممكن تديني واحد ثاني من فضلك,في حاجة غلط في مفتاح البطاقة ممكن تديني واحد تاني من فضلك
1091,عندي طفح في يديني,عندي طفح في يديني,عندي طفح في يديني
1092,رسل دي جويا لليابان من فضلك,رسل دي جويا لليابان من فضلك,رسل دي جويا لليابان من فضلك
1093,وين اقرب صيدلية,وين اقرب صيدلية,وين اقرب صيدلية
1094,خمرة تانية من فضلك,خمرة ثانية من فضلك,خمرة تانية من فضلك
1095,ناس ودودين جدا,ناس ودودين جدا,ناس ودودين جدا
1096,كم مشروب متضمن في السعر,كم مشروب متضمن في السعر,كم مشروب متضمن في السعر
1097,انت عملتها,انت عملتها,انت عملتها
1098,وين بوابة الدخول للرحلة دي,وين بوابة الدخول للرحلة دي,وين بوابة الدخول للرحلة دي
1099,لو في ممكن تحجز طربيزة جنب الشباك,لو في ممكن تحجز طربيزة جنب الشباك,لو في ممكن تحجز طربيزة جنب الشباك
1100,اعلانات الأربعاء كانت اساسا معمولة,اعلانات الأربعاء كانت اساسا معمولة,اعلانات الأربعا كانت اساسا معمولة
1101,نحن في ارتفاع اتناشر الف قدم,نحن في ارتفاع اتنعشر الف قدم,نحن في ارتفاع اتناشر الف قدم
1102,اولا دايرين نشوف وول استريت,اولا دايرين نشوف وول استريت,اولا دايرين نشوف وول استريت
1103,وين موقف البص لاكسفورد,وين موقف البص لاكسفورد,وين موقف البص لاكسفورد
1104,ممكن نشوف محافظ جلدية,ممكن نشوف محافظ جلدية,ممكن نشوف محافظ جلدية
1105,خلينا نحضر التلفزيون في لعبة بيسبول شغالة,خلينا نحضر التلفزيون في لعبة بيسبول شغالة,خلينا نحضر التلفزيون في لعبة بيسبول شغالة
1106,ممكن تكتب عنوانك هنا,ممكن تكتب عنوانك هنا,ممكن تكتب عنوانك هنا
1107,من فضلك وريني وين اقرب صيدلية,من فضلك وريني وين اقرب صيدلية,من فضلك وريني وين اقرب صيدلية
1108,لي فندقي من فضلك عنوان فندقي هنا,لي فندقي من فضلك عنوان فندقي هنا,لي فندقي من فضلك عنوان فندقي هنا
1109,في كم ولاية غير طوكيو,في كم ولاية غير طوكيو,في كم ولاية غير طوكيو
1110,اقفل الخط و انتظر شوية من فضلك,اقفل الخط و انتظر شوية من فضلك,اقفل الخط و انتظر شوية من فضلك
1111,انت عادة بتعمل شنو في البيت بعد العشاء,انت عادة بتعمل شنو في البيت بعد العشا,انت عادة بتعمل شنو في البيت بعد العشا
1112,بالتأكيد متين داير تلعب قولف,بالتأكيد متين داير تلعب قولف,بالتأكيد متين داير تلعب قولف
1113,داير اتصل بالسفارة اليابانية,داير اتصل بالسفارة اليابانية,داير اتصل بالسفارة اليابانية
1114,زيادة شوية,زيادة شوية,زيادة شوية
1115,من وين بتغادر بصات معالم المدينة,من وين بتغادر بصات معالم المدينة,من وين بتغادر بصات معالم المدينة
1116,كم بتشحن عشان اترسلو لليابان,كم بتشحن عشان اترسلو لليابان,كم بتشحن عشان اترسلو لليابان
1117,ما عندي اندية او جزم,ما عندي اندية او جزم,ما عندي اندية او جزم
1118,هل الين الياباني تمام,هل الين الياباني تمام,هل الين الياباني تمام
1119,هل عندك موستاج,هل عندك موستاج,هل عندك موستاج
1120,مستر كاواي عندنا طربيزة ليك الآن تعال من هنا من فضلك,مستر كاواي عندنا طربيزة ليك الآن تعال من هنا من فضلك,مستر كاواي عندنا طربيزة ليك الآن تعال من هنا من فضلك
1121,مكتب الاستقبال ممكن اساعدك,مكتب الاستقبال ممكن اساعدك,مكتب الاستقبال ممكن اساعدك
1122,ممكن تنزلني في فندق الهلتون من فضلك,ممكن تنزلني في فندق الهلتون من فضلك,ممكن تنزلني في فندق الهلتون من فضلك
1123,هل انت دايما بتشتغل متأخر,هل انت دايما بتشتغل متأخر,هل انت دايما بتشتغل متأخر
1124,طربيزة لغير المدخنين من فضلك,طربيزة لغير المدخنين من فضلك,طربيزة لغير المدخنين من فضلك
1125,ممكن تخليني اعرف قبل ما نصل دورام,ممكن تخليني اعرف قبل ما نصل دورام,ممكن تخليني اعرف قبل ما نصل دورام
1126,دا فريش,دا فريش,ده فريش
1127,ما صاح انت دائما بتعاملني,ما صاح انت دايما بتعاملني,ما صاح انت دايما بتعاملني
1128,ممكن اوريك شوية فساتين,ممكن اوريك شوية فساتين,ممكن اوريك شوية فساتين
1129,اتهجاه من فضلك,اتهجاه من فضلك,اتهجاه من فضلك
1130,انا سكرت,انا سكرت,انا سكرت
1131,خلي بالك لأن الجو متغير شديد في الجبال,خلي بالك لأن الجو متغير شديد في الجبال,خلي بالك لأن الجو متغير شديد في الجبال
1132,شيك سياحي و ين ياباني اوكي,شيك سياحي و ين ياباني اوكي,شيك سياحي و ين ياباني اوكي
1133,آسف انا اتحققت من خدمة الغرف وقسم المفقودات ما موجود عندهم,آسف انا اتحققت من خدمة الغرف وقسم المفقودات ما موجود عندهم,آسف انا اتحققت من خدمة الغرف وقسم المفقودات ما موجود عندهم
1134,حته صعب تلقاها هي في شارع فرعي,حته صعب تلقاها هي في شارع فرعي,حته صعب تلقاها هي في شارع فرعي
1135,ما بعرف شي عنه,ما بعرف شي عنه,ما بعرف شي عنه
1136,ممكن نناقشه في مقهى,ممكن نناقشه في مقهى,ممكن نناقشه في مقهى
1137,فهمت في الحالة ديك انا ما علي دفع سعر التعديلات صاح,فهمت في الحالة ديك انا ما علي دفع سعر التعديلات صاح,فهمت في الحالة ديك انا ما علي دفع سعر التعديلات صاح
1138,موظف المكالمات من فضلك,موظف المكالمات من فضلك,موظف المكالمات من فضلك
1139,ممكن توطي السرج من فضلك,ممكن توطي السرج من فضلك,ممكن توطي السرج من فضلك
1140,هل حتستضيفني عندك الليلة,هل حتستضيفني عندك الليلة,هل حتستضيفني عندك الليلة
1141,دي فاتورتك تلتمية وسبعة وتسعين دولار,دي فاتورتك ثلثمية وسبعة وتسعين دولار,دي فاتورتك تلتمية وسبعة وتسعين دولار
1142,انت محظوظ,انت محظوظ,انت محظوظ
1143,من فضلك خليها طربيزة مع منظر ليلى جيد,من فضلك خليها طربيزة مع منظر ليلي جيد,من فضلك خليها طربيزة مع منظر ليلى جيد
1144,هل دا صنع آلي ول صنع يدوي,هل دا صنع آلي ولا صنع يدوي,هل ده صنع آلي ولا صنع يدوي
1145,كان جميل جدا الاقيك,كان جميل جدا الاقيك,كان جميل جدا الاقيك
1146,ده مشرط,ده مشرط,ده مشرط
1147,تمام اسي خلينا نعاين ليك,تمام اسي خلينا نعاين ليك,تمام اسي خلينا نعاين ليك
1148,الوزن كم,الوزن كم,الوزن كم
1149,هل في كافيتريا صينية حوالي هنا,هل في كافيتريا صينية حوالي هنا,هل في كافيتريا صينية حوالي هنا
1150,رصيف خمسة هناك,رصيف خمسة هناك,رصيف خمسة هناك
1151,كاميرتي ما شغالة ممكن تشوفها,كاميرتي ما شغالة ممكن تشوفها,كاميرتي ما شغالة ممكن تشوفها
1152,اعتقد انه في شوية اخطاء في الفاتورة,اعتقد انه في شوية أخطاء في الفاتورة,اعتقد انه في شوية اخطا في الفاتورة
1153,من فضلك اديني الواحد داك,من فضلك اديني الواحد داك,من فضلك اديني الواحد داك
1154,دي بوابة سبعة,دي بوابة سبعة,دي بوابة سبعة
1155,هل انت اسكتلندي,هل انت اسكتلندي,هل انت اسكتلندي
1156,تلاتة-اتنين-واحد-اتنين انتظر ثانية كله تمام داير ارسل ليك حاجة هنا اعذرني,ثلاثة-اثنين-واحد-اثنين انتظر ثانية كله تمام داير ارسل ليك حاجة هنا اعذرني,تلاتة-اتنين-واحد-اتنين انتظر ثانية كله تمام داير ارسل ليك حاجة هنا اعذرني
1157,مئة و خمسة وتلاتين ين للدولار,مية و خمسة وثلاثين ين للدولار,مية و خمسة وتلاتين ين للدولار
1158,ممكن اتكلم مع المدير,ممكن اتكلم مع المدير,ممكن اتكلم مع المدير
1159,لي اجرتك مخالفة للعداد,ليه اجرتك مخالفة للعداد,لي اجرتك مخالفة للعداد
1160,ممكن اشوف الواحد دا,ممكن اشوف الواحد ده,ممكن اشوف الواحد ده
1161,وعدت نفسي انو لمن اشوفك حاعرفك,وعدت نفسي انو لمن اشوفك حاعرفك,وعدت نفسي انو لمن اشوفك حاعرفك
1162,الحاصل شنو,الحاصل شنو,الحاصل شنو
1163,ما حاسي كويس ممكن تقترح طبيب,ما حاسي كويس ممكن تقترح طبيب,ما حاسي كويس ممكن تقترح طبيب
1164,الطرف التاني في الخط اتفضل,الطرف الثاني في الخط اتفضل,الطرف التاني في الخط اتفضل
1165,هل هناك عرض طابق,هل هناك عرض طابق,هل هناك عرض طابق
1166,الحمام ما بدفق,الحمام ما بدفق,الحمام ما بدفق
1167,كم من الزمن بتاخد من هنا للسيتي هول بالارجل,كم من الزمن بتاخد من هنا للسيتي هول بالارجل,كم من الزمن بتاخد من هنا للسيتي هول بالارجل
1168,اخد الدواء دا بعد كل وجبة لمن اوجع شديد,اخد الدواء دا بعد كل وجبة لمن اوجع شديد,اخد الدوا ده بعد كل وجبة لمن اوجع شديد
1169,انت بتخت القروش في ظرف خاص مزخرف البسموه شوقيبوكورو,انت بتخت القروش في ظرف خاص مزخرف البسموه شوقيبوكورو,انت بتخت القروش في ظرف خاص مزخرف البسموه شوقيبوكورو
1170,في زول اتاذي,في زول اتاذي,في زول اتاذي
1171,بفكر مفروض اجيب ليه شنو,بفكر مفروض اجيب ليه شنو,بفكر مفروض اجيب ليه شنو
1172,هل عندك خريطة للمترو,هل عندك خريطة للمترو,هل عندك خريطة للمترو
1173,عندي غرفة جاهزة ليك في القراند هوتل ممكن تمشي هناك,عندي غرفة جاهزة ليك في القراند هوتل ممكن تمشي هناك,عندي غرفة جاهزة ليك في القراند هوتل ممكن تمشي هناك
1174,عندي وجع في عيني اليمين,عندي وجع في عيني اليمين,عندي وجع في عيني اليمين
1175,انا ما كويس شديد في الألماني,انا ما كويس شديد في الألماني,انا ما كويس شديد في الألماني
1176,نحن بالتأكيد مفروض نرجع سواء تاني,نحن بالتأكيد مفروض نرجع سوا ثاني,نحن بالتأكيد مفروض نرجع سوا تاني
1177,ممكن تضيق السروال دا,ممكن تضيق السروال ده,ممكن تضيق السروال ده
1178,ممكن استلف مضارب و كورة,ممكن استلف مضارب و كورة,ممكن استلف مضارب و كورة
1179,ممكن تحت شوية فكة,ممكن تحت شوية فكة,ممكن تحت شوية فكة
1180,ممكن اشيل نص قزازة,ممكن اشيل نص قزازة,ممكن اشيل نص قزازة
1181,هاي انا جن,هاي انا جن,هاي انا جن
1182,ناكاي,ناكاي,ناكاي
1183,اتصلت عن شنطة ضايعة قبل تلاتة ايام,اتصلت عن شنطة ضايعة قبل ثلاثة ايام,اتصلت عن شنطة ضايعة قبل تلاتة ايام
1184,داير فندق ارخص,داير فندق ارخص,داير فندق ارخص
1185,اوه هناك حاجات كتيرة مفروض تشوفها في قرينوتش فيليج,اوه هناك حاجات كثيرة مفروض تشوفها في قرينوتش فيليج,اوه هناك حاجات كتيرة مفروض تشوفها في قرينوتش فيليج
1186,في الشغل عندي صلات شغل هناك,في الشغل عندي صلات شغل هناك,في الشغل عندي صلات شغل هناك
1187,هو جاي مع بدلتك,هو جاي مع بدلتك,هو جاي مع بدلتك
1188,اعذرني هل انت بتعرف نيويورك كويس,اعذرني هل انت بتعرف نيويورك كويس,اعذرني هل انت بتعرف نيويورك كويس
1189,داير اقابل جراح,داير اقابل جراح,داير اقابل جراح
1190,هل ديل مكونات طبيعية,هل ديل مكونات طبيعية,هل ديل مكونات طبيعية
1191,داير اركب عربية رياضية,داير اركب عربية رياضية,داير اركب عربية رياضية
1192,كود المنطقة صفر تلاتة الرقم تلاتة واحد تلاتة اربعة خمسة ستة سبعة,كود المنطقة صفر ثلاثة الرقم ثلاثة واحد ثلاثة اربعة خمسة ستة سبعة,كود المنطقة صفر تلاتة الرقم تلاتة واحد تلاتة اربعة خمسة ستة سبعة
1193,هو عانى من نزلة,هو عانى من نزلة,هو عانى من نزلة
1194,داير ارسل دا بالتسليم العام,داير ارسل ده بالتسليم العام,داير ارسل ده بالتسليم العام
1195,خليني احول المكالمة دي للزول المسؤول,خليني احول المكالمة دي للزول المسؤول,خليني احول المكالمة دي للزول المسؤول
1196,ياتو مقاس انت داير,ياتو مقاس انت داير,ياتو مقاس انت داير
1197,اوه حبيبي ما لاحظت اني لسه عندي ديلك,اوه حبيبي ما لاحظت اني لسه عندي ديلك,اوه حبيبي ما لاحظت اني لسه عندي ديلك
1198,هل الخطوط الجوية ح تدفع لفندقي و تكاليف الوجبة,هل الخطوط الجوية حتدفع لي فندقي و تكاليف الوجبة,هل الخطوط الجوية حتدفع لفندقي و تكاليف الوجبة
1199,هل ديل كلهم شنطك,هل ديل كلهم شنطك,هل ديل كلهم شنطك
1200,كيف تتمني تعمل المكالمة,كيف تتمني تعمل المكالمة,كيف تتمني تعمل المكالمة
1201,تمام هو غالي ما مصنوع في اليابان ول لا,تمام هو غالي ما مصنوع في اليابان ولا لأ,تمام هو غالي ما مصنوع في اليابان ولا لا
1202,ممكن من فضلك تمرر لي الملح,ممكن من فضلك تمرر لي الملح,ممكن من فضلك تمرر لي الملح
1203,وين اقرب كافيتريا من الفندق دا,وين اقرب كافيتريا من الفندق ده,وين اقرب كافيتريا من الفندق ده
1204,بتمنى ليك سنة جديدة سعيدة,بتمنى ليك سنة جديدة سعيدة,بتمنى ليك سنة جديدة سعيدة
1205,اعذرني داير اطلب,اعذرني داير اطلب,اعذرني داير اطلب
1206,عندنا جمبري نيوبيرق و فخد ضان مشوي,عندنا جمبري نيوبيرق و فخد ضان مشوي,عندنا جمبري نيوبيرق و فخد ضان مشوي
1207,داير غرفة بي منظر جميل,داير غرفة بي منظر جميل,داير غرفة بي منظر جميل
1208,تلاتة قزازات بتاعت عصير بطيخ من فضلك,ثلاثة قزازات بتاعة عصير بطيخ من فضلك,تلاتة قزازات بتاعت عصير بطيخ من فضلك
1209,عندي تلاتة اطفال,عندي ثلاثة اطفال,عندي تلاتة اطفال
1210,هل هي جولة يوم كامل,هل هي جولة يوم كامل,هل هي جولة يوم كامل
1211,وين ممكن اقعد خلال الجولة,وين ممكن اقعد خلال الجولة,وين ممكن اقعد خلال الجولة
1212,متين زمن الخروج,متين زمن الخروج,متين زمن الخروج
1213,كم رسوم المرشد لليوم,كم رسوم المرشد لليوم,كم رسوم المرشد لليوم
1214,وين ممكن القى سيديهات,وين ممكن القى سيديهات,وين ممكن القى سيديهات
1215,اعذرني انا طالب كلية من اليابان هل انت طالب ان واي يو,اعذرني انا طالب كلية من اليابان هل انت طالب ان واي يو,اعذرني انا طالب كلية من اليابان هل انت طالب ان واي يو
1216,ممكن تورينا كيف انت قيمت الفكرة دي,ممكن تورينا كيف انت قيمت الفكرة دي,ممكن تورينا كيف انت قيمت الفكرة دي
1217,اكي هل انت بتعرف دكان تسجيل كويس قريب هنا,اكي هل انت بتعرف دكان تسجيل كويس قريب هنا,اكي هل انت بتعرف دكان تسجيل كويس قريب هنا
1218,كاش ول شحن,كاش ولا شحن,كاش ولا شحن
1219,دا عدم تهذيب تسأل الناس بجنوا كم,دا عدم تهذيب تسأل الناس دخلهم كم,ده عدم تهذيب تسأل الناس بجنوا كم
1220,هل ديل ليفايس خمسمية وواحد اصليات,هل ديل ليفايس خمسمية وواحد اصليات,هل ديل ليفايس خمسمية وواحد اصليات
1221,متين ممكن اخد حمام,متين ممكن اخد حمام,متين ممكن اخد حمام
1222,ما شكلك فوق الواحد و عشرين سنة,ما شكلك فوق الواحد و عشرين سنة,ما شكلك فوق الواحد و عشرين سنة
1223,فهمتفي الحقيقة فيه فلم سرعة عالية هل بتمانع اذا طلعتو,فهمتفي الحقيقة فيه فلم سرعة عالية هل بتمانع اذا طلعته,فهمتفي الحقيقة فيه فلم سرعة عالية هل بتمانع اذا طلعتو
1224,اشتريته قبل شوية,اشتريته قبل شوية,اشتريته قبل شوية
1225,تمنية دولارات و بجي واحد اسى,ثمانية دولارات و بجي واحد اسي,تمنية دولارات و بجي واحد اسى
1226,من فضلك وريه مع المشتريات للجمارك في المطار,من فضلك وريه مع المشتريات للجمارك في المطار,من فضلك وريه مع المشتريات للجمارك في المطار
1227,ياتو دكاكين عندهم تخفيضات حاليا,ياتو دكاكين عندهم تخفيضات حاليا,ياتو دكاكين عندهم تخفيضات حاليا
1228,موظف المكالمات اديني محطة الاطفاء,موظف المكالمات اديني محطة الاطفاء,موظف المكالمات اديني محطة الاطفا
1229,عندي بطارية فاضية,عندي بطارية فاضية,عندي بطارية فاضية
1230,اقيف في التقاطع الجاي,اقيف في التقاطع الجاي,اقيف في التقاطع الجاي
1231,اوه هندا ليه و هل لازم واحد يملأ فورمة تصريح الجمارك دي,اوه هندا ليه و هل لازم واحد يملا فورمة تصريح الجمارك دي,اوه هندا ليه و هل لازم واحد يملأ فورمة تصريح الجمارك دي
1232,و ممكن اشيل اسمك من فضلك,و ممكن اشيل اسمك من فضلك,و ممكن اشيل اسمك من فضلك
1233,هل بتمانع اذا عملت مكالمة على حساب الطرف التاني,هل بتمانع اذا عملت مكالمة على حساب الطرف الثاني,هل بتمانع اذا عملت مكالمة على حساب الطرف التاني
1234,الو كيف انت,الو كيف انت,الو كيف انت
1235,وين قسم الترحيل,وين قسم الترحيل,وين قسم الترحيل
1236,اسم الزول الداير تتكلم معاه منو,اسم الزول الداير تتكلم معاه منو,اسم الزول الداير تتكلم معاه منو
1237,انا آسف هو ما جوه اسي,انا آسف هو ما جوه اسي,انا آسف هو ما جوه اسي
1238,هل غرفتك مطلة على المدينة,هل غرفتك مطلة على المدينة,هل غرفتك مطلة على المدينة
1239,اي رسائل لي,اي رسائل لي,اي رسايل لي
1240,دائرين غرفة في الخلف,دايرين غرفة في الخلف,دايرين غرفة في الخلف
1241,شكلك جميل,شكلك جميل,شكلك جميل
1242,داير غرفة مزدوجة كم سعر الغرفة لليلة,داير غرفة مزدوجة كم سعر الغرفة لليلة,داير غرفة مزدوجة كم سعر الغرفة لليلة
1243,هو على بعد تسعة وتسعين ميل,هو على بعد تسعة وتسعين ميل,هو على بعد تسعة وتسعين ميل
1244,فينس و ليندا دايرين يقعدوا براهم عشان كدا آسف لازم اقعد هنا الليلة,فينس و ليندا دايرين يقعدوا براهم عشان كده آسف لازم اقعد هنا الليلة,فينس و ليندا دايرين يقعدوا براهم عشان كده آسف لازم اقعد هنا الليلة
1245,من فضلك خت العفش دا مربوط,من فضلك خت العفش ده مربوط,من فضلك خت العفش ده مربوط
1246,اسمي ساتو,اسمي ساتو,اسمي ساتو
1247,انا بعرف نادي جاز قديم وسط المدينة,انا بعرف نادي جاز قديم وسط المدينة,انا بعرف نادي جاز قديم وسط المدينة
1248,داير اجرب نفس الصحن داك,داير اجرب نفس الصحن داك,داير اجرب نفس الصحن داك
1249,هل دا بمشي فوق للطابق السادس,هل ده بمشي فوق للطابق السادس,هل ده بمشي فوق للطابق السادس
1250,جلد تمساح,جلد تمساح,جلد تمساح
1251,من فضلك خته في شنطة غسيل و خليه هناك,من فضلك خته في شنطة غسيل و خليه هناك,من فضلك خته في شنطة غسيل و خليه هناك
1252,شباك تمام,شباك تمام,شباك تمام
1253,هل كل مصروفات الترحيل اتضمنت,هل كل مصروفات الترحيل اتضمنت,هل كل مصروفات الترحيل اتضمنت
1254,منزل ميتروبولتان اوبرا,منزل ميتروبولتان اوبرا,منزل ميتروبولتان اوبرا
1255,وين مكتب تأجير العربات,وين مكتب تأجير العربات,وين مكتب تأجير العربات
1256,انا محموم من امبارح بالليل,انا محموم من امبارح بالليل,انا محموم من امبارح بالليل
1257,دا ما بناسب ذوقي,ده ما بناسب ذوقي,ده ما بناسب ذوقي
1258,عندك ياتو خضروات,عندك ياتو خضروات,عندك ياتو خضروات
1259,داير كيرلي خفيف,داير كيرلي خفيف,داير كيرلي خفيف
1260,متين بجي الدكتور,متين بجي الدكتور,متين بجي الدكتور
1261,هو اللون الغلط,هو اللون الغلط,هو اللون الغلط
1262,السن اتكسرت,السن اتكسرت,السن اتكسرت
1263,هل دا مقعد ممر ول مقعد شباك,هل ده مقعد ممر ولا مقعد شباك,هل ده مقعد ممر ولا مقعد شباك
1264,انا قاعد اتمشى,انا قاعد اتمشى,انا قاعد اتمشى
1265,بتقدر توصل شنطتي للغرفة,بتقدر توصل شنطتي للغرفة,بتقدر توصل شنطتي للغرفة
1266,وريني واحد لسيدة شابة,وريني واحد لسيدة شابة,وريني واحد لسيدة شابة
1267,ممكن تقيف هنا,ممكن تقيف هنا,ممكن تقيف هنا
1268,انا عطشان,انا عطشان,انا عطشان
1269,لبن لا من فضلك,لبن لا من فضلك,لبن لا من فضلك
1270,عندي تلات شنط,عندي ثلاث شنط,عندي تلات شنط
1271,وين البحيرة,وين البحيرة,وين البحيرة
1272,اعزرني اضغط زر التصوير من فضلك,اعزرني اضغط زر التصوير من فضلك,اعزرني اضغط زر التصوير من فضلك
1273,ممكن اخد مجلة ول حاجة,ممكن اخد مجلة ولا حاجة,ممكن اخد مجلة ولا حاجة
1274,هو الجنوب,هو الجنوب,هو الجنوب
1275,كم سعر مقاعد البلكونة,كم سعر مقاعد البلكونة,كم سعر مقاعد البلكونة
1276,دايرين غرفة كاشفة البحيرة,دايرين غرفة كاشفة البحيرة,دايرين غرفة كاشفة البحيرة
1277,هل في صناديق بريد قريب من هنا,هل في صناديق بريد قريب من هنا,هل في صناديق بريد قريب من هنا
1278,الجزء المكتوب بميل يشير للتغييرات في تسعينات القرن العشرين,الجزء المكتوب بميل يشير للتغييرات في تسعينات القرن العشرين,الجز المكتوب بميل يشير للتغييرات في تسعينات القرن العشرين
1279,عمره تلاتين سنة,عمره ثلاثين سنة,عمره تلاتين سنة
1280,كله تمام ممكن تكتب العنوان مرة تانية في الظرف دا,كله تمام ممكن تكتب العنوان مرة ثانية في الظرف ده,كله تمام ممكن تكتب العنوان مرة تانية في الظرف ده
1281,داير امشي لي الهارودس ممكن ترسم خريطة من فضلك,داير امشي لي الهارودس ممكن ترسم خريطة من فضلك,داير امشي لي الهارودس ممكن ترسم خريطة من فضلك
1282,بتعمل شنو لمن يكون عندك وقت فاضي,بتعمل شنو لمن يكون عندك وقت فاضي,بتعمل شنو لمن يكون عندك وقت فاضي
1283,هل عندك بطاريات للكاميرا دي,هل عندك بطاريات للكاميرا دي,هل عندك بطاريات للكاميرا دي
1284,داير كيبل للتصوير عن بعد,داير كيبل للتصوير عن بعد,داير كيبل للتصوير عن بعد
1285,هل انت الأخير في الصف,هل انت الأخير في الصف,هل انت الأخير في الصف
1286,اعتقد انه محجوز زيادة,اعتقد انه محجوز زيادة,اعتقد انه محجوز زيادة
1287,شوتة سمحة بس برة,شوتة سمحة بس برة,شوتة سمحة بس برة
1288,ممكن توريني الاماكن المهمة هنا,ممكن توريني الاماكن المهمة هنا,ممكن توريني الاماكن المهمة هنا
1289,هل في اي بقالات قريبة من هنا,هل في اي بقالات قريبة من هنا,هل في اي بقالات قريبة من هنا
1290,انا برضو,انا برضو,انا برضو
1291,داير انضم من سان دييغو,داير انضم من سان دييغو,داير انضم من سان دييغو
1292,كنت بفكر اخد الكورس داك السمستر الجاي,كنت بفكر اخد الكورس داك السمستر الجاي,كنت بفكر اخد الكورس داك السمستر الجاي
1293,الخمرة ما باردة كفاية ممكن تبردها اكتر,الخمرة ما باردة كفاية ممكن تبردها اكثر,الخمرة ما باردة كفاية ممكن تبردها اكتر
1294,هل ممكن تبدل الحلق ده لي كليبسات,هل ممكن تبدل الحلق ده لي كليبسات,هل ممكن تبدل الحلق ده لي كليبسات
1295,شنو اكتر شي مهتم بيه الآن,شنو اكثر شي مهتم بيه الآن,شنو اكتر شي مهتم بيه الآن
1296,داير اعادة دفع  ممكن قروشي راجعة,داير اعادة دفع  ممكن قروشي راجعة,داير اعادة دفع ممكن قروشي راجعة
1297,انا احتمال ما اقدر القى مشروب زي دا في اي مكان تاني,انا احتمال ما اقدر القى مشروب زي ده في اي مكان ثاني,انا احتمال ما اقدر القى مشروب زي ده في اي مكان تاني
1298,ممكن اشوف شهادة التطعيم حقتك من فضلك,ممكن اشوف شهادة التطعيم حقتك من فضلك,ممكن اشوف شهادة التطعيم حقتك من فضلك
1299,هل انت بتسافر كتير,هل انت بتسافر كثير,هل انت بتسافر كتير
1300,انا جاي من الولايات المتحدة,انا جاي من الولايات المتحدة,انا جاي من الولايات المتحدة
1301,داير فندق ارخص شوية,داير فندق ارخص شوية,داير فندق ارخص شوية
1302,بونساي شكلها زي هواية زول قديم,بونساي شكلها زي هواية زول قديم,بونساي شكلها زي هواية زول قديم
1303,ما قررت لسة ممكن تديني زمن اكتر شوية,ما قررت لسا ممكن تديني زمن اكثر شوية,ما قررت لسة ممكن تديني زمن اكتر شوية
1304,عندي صداع,عندي صداع,عندي صداع
1305,اوه لا من فضلك اسرع نحن متأخرين,اوه لا من فضلك اسرع نحن متأخرين,اوه لا من فضلك اسرع نحن متأخرين
1306,ما داير انفق اكتر من عشرين دولار,ما داير انفق اكثر من عشرين دولار,ما داير انفق اكتر من عشرين دولار
1307,لي الرحلة ما بتقلع وريني الحاصل شنو,لي الرحلة ما بتقلع وريني الحاصل شنو,لي الرحلة ما بتقلع وريني الحاصل شنو
1308,كم سعر الأجرة ممكن تكتب الأجرة برة في قطعة ورقة,كم سعر الأجرة ممكن تكتب الأجرة برة في قطعة ورقة,كم سعر الأجرة ممكن تكتب الأجرة برة في قطعة ورقة
1309,دير اأجر كرسي سطح,دير اأجر كرسي سطح,دير اأجر كرسي سطح
1310,انتظر دقيقة من فضلك,انتظر دقيقة من فضلك,انتظر دقيقة من فضلك
1311,هل مفروض السيدات يلبسوا فساتين رسمية,هل مفروض السيدات يلبسوا فساتين رسمية,هل مفروض السيدات يلبسوا فساتين رسمية
1312,ما تهبشني,ما تهبشني,ما تهبشني
1313,هل عندك سجائر,هل عندك سجاير,هل عندك سجاير
1314,اذا الهوا ما قوي شديد ممكن نمشي لي تيكي بوينت,اذا الهوا ما قوي شديد ممكن نمشي لي تيكي بوينت,اذا الهوا ما قوي شديد ممكن نمشي لي تيكي بوينت
1315,ممتاز,ممتاز,ممتاز
1316,هو منو,هو منو,هو منو
1317,اعزرني ممكن توريني وين موقف التكسي,اعزرني ممكن توريني وين موقف التكسي,اعزرني ممكن توريني وين موقف التكسي
1318,و الشراب,و الشراب,و الشراب
1319,هندا ليه,هنده ليه,هندا ليه
1320,وين اقرب متجر اجهزة,وين اقرب متجر اجهزة,وين اقرب متجر اجهزة
1321,انا بفتش لي دا,انا بفتش لي ده,انا بفتش لي ده
1322,كله تمام سيدي و تحب شنو للتحلية,كله تمام سيدي و تحب شنو للتحلية,كله تمام سيدي و تحب شنو للتحلية
1323,عربية عادية ولا بولمان,عربية عادية ولا بولمان,عربية عادية ولا بولمان
1324,شيكات سياحية  شكرا ليك  دي تزكرتك و بطاقة الركوب  كون هناك من فضلك قبل ساعة من زمن الرحلة,شيكات سياحية  شكرا ليك  دي تزكرتك و بطاقة الركوب  كون هناك من فضلك قبل ساعة من زمن الرحلة,شيكات سياحية شكرا ليك دي تزكرتك و بطاقة الركوب كون هناك من فضلك قبل ساعة من زمن الرحلة
1325,هو الم حاد,هو الم حاد,هو الم حاد
