,sent,CODA
985,ما اعظمه من منظر ديل آثار عظيمة,ما اعظمه من منظر ديل آثار عظيمة
986,هناك في ناس اتجرحوا,هناك في ناس اتجرحوا
987,اعذرني وين المحطة البي هنا,اعذرني وين المحطة البي هنا
988,نعم عندنا حجز ليك,نعم عندنا حجز ليك
989,اعذرني لكن انا داير امشي لي فندقي في المدينة بالبص وين ممكن اخد بص,اعذرني لكن انا داير امشي لي فندقي في المدينة بالبص وين ممكن اخد بص
990,جداد من فضلك,جداد من فضلك
991,دي غرفة اتنين صفر واحد  داير اطلب فطور بكرة,دي غرفة اثنين صفر واحد  داير اطلب فطور بكرة
992,رايك شنو في التحرش الجنسي في اماكن العمل,رايك شنو في التحرش الجنسي في اماكن العمل
993,عندي اختين,عندي اختين
994,رحلة رقم اتنين صفر تمنية لي طوكيو,رحلة رقم اثنين صفر ثمانية الى طوكيو
995,خلينا نخت حشوة جوة,خلينا نخت حشوة جوة
996,ورحكم سوا عشان نناقش دا اكتر,ورحكم سوا عشان نناقش ده اكثر
997,كيف داير شعرك يتعمل الليلة,كيف داير شعرك يتعمل الليلة
998,ممكن تقوله بي كلمات تانية,ممكن تقوله بي كلمات ثانية
999,ح اعمل بمهما يكون عندك,حاعمل بمهما يكون عندك
1000,دايرين طربيزة جنب المنصة,دايرين طربيزة جنب المنصة
1001,انا تمام طيب انت ماشى محل,انا تمام طيب انت ماشي محل
1002,ارتقاعه الفين و اربعمية متر ,ارتقاعه الفين و اربعمية متر 
1003,ادخل من فضلك خته في الطربيزة هنا,ادخل من فضلك خته في الطربيزة هنا
1004,من فضلك الغى رقم بطاقتي,من فضلك الغي رقم بطاقتي
1005,انا آسف كلهم اتباعوا لكن ح يكونوا عندنا بعد ايام قليلة,انا آسف كلهم اتباعوا لكن حيكونوا عندنا بعد ايام قليلة
1006,ممكن اخد شوية قهوة,ممكن اخد شوية قهوة
1007,ما عندي موعد لكنه مستعجل,ما عندي موعد لكنه مستعجل
1008,دا مصنوع بي طريقة كعبة,ده مصنوع بي طريقة كعبة
1009,وين المصعد,وين المصعد
1010,هل عندك دليل مناسبات,هل عندك دليل مناسبات
1011,وين المدخل للنفق,وين المدخل للنفق
1012,انا ضيعت تزكرتي الجوية,انا ضيعت تزكرتي الجوية
1013,ما بتقدر تقعد هنا خلال العطلة,ما بتقدر تقعد هنا خلال العطلة
1014,اوه انا اسف لانى ازعجتك,اوه انا اسف لاني ازعجتك
1015,هل ممكن تحجز مناسبات,هل ممكن تحجز مناسبات
1016,في حمام عام قريب من هنا,في حمام عام قريب من هنا
1017,المجموع كم,المجموع كم
1018,داك كويس شديد اسي اللأسئلة من فضلك,داك كويس شديد اسي اللأسئلة من فضلك
1019,هل عندك اي فكة لعداد الباركنق,هل عندك اي فكة لي عداد الباركنق
1020,اعلى مبيعاتنا للاربعة سنوات الفاتت هي آلة التصوير ايه اكس اربعمية وخمسين,اعلى مبيعاتنا للاربعة سنوات الفاتت هي آلة التصوير ايه اكس اربعمية وخمسين
1021,الف شمال,الف شمال
1022,هل في اي مضيفه بتتكلم ياباني,هل في اي مضيفه بتتكلم ياباني
1023,سعر سمح ولا كيف,سعر سمح ولا كيف
1024,لازم تاخده تسعة وتسعين مرة في اليوم قبل الوجبة,لازم تاخده تسعة وتسعين مرة في اليوم قبل الوجبة
1025,انا احبه,انا احبه
1026,داير ترايبود,داير ترايبود
1027,داير جاكت رياضي,داير جاكت رياضي
1028,ممكن تقعد في بيتي,ممكن تقعد في بيتي
1029,ممكن اتكي مقعدي من فضلك,ممكن اتكي مقعدي من فضلك
1030,سمح كنت بفتش لتاكسي لكن دا احسن,سمح كنت بفتش لي تاكسي لكن ده احسن
1031,جاكيت سمح هل هو صناعة بريطانية,جاكيت سمح هل هو صناعة بريطانية
1032,داير امشي لمركز هارفارد ممكن تكلمني لمن نصل هناك,داير امشي لي مركز هارفارد ممكن تكلمني لمن نصل هناك
1033,اتنين بالغين و طفلين من فضلك,اثنين بالغين و طفلين من فضلك
1034,السعر كم,السعر كم
1035,ستر رواز حقق اعظم نجاح في الف تسعمية اربعة وتمانين,ستر رواز حقق اعظم نجاح في الف تسعمية اربعة وثمانين
1036,وين حتة غير المدخنين,وين حتة غير المدخنين
1037,"ديك ""ت"" زي الفي توم نعم عندي منها هنا يا تارو","ديك ""ت"" زي الفي توم نعم عندي منها هنا يا تارو"
1038,اعتقد انه جميل,اعتقد انه جميل
1039,داير شوية تفاح من فضلك,داير شوية تفاح من فضلك
1040,هو لشنو,هو لشنو
1041,اي كردت كارد بتقبل,اي كردت كارد بتقبل
1042,عندي زمن كتير,عندي كتير من الزمن
1043,طيب اسي زمن الغداء داير تناقشه خلال الغداء,طيب اسي زمن الغداء داير تناقشه خلال الغداء
1044,مسجل الفيديو اتسرق من غرفتي,مسجل الفيديو اتسرق من غرفتي
1045,الو اسمي اودا عندي حجز لليلة لكن ح اكون متأخر شوية في الدخول عشان كدا احفظ حجزي,الو اسمي اودا عندي حجز لليلة لكن حاكون متأخر شوية في الدخول عشان كده احفظ حجزي
1046,الجزم دي قوية,الجزم دي قوية
1047,من فضلك كلمه اني منتظر مكالمات هاتفية,من فضلك كلمه اني منتظر مكالمات هاتفية
1048,هم بقولوا الأنفلونزا منتشرة هناك,هم بقولوا الأنفلونزا منتشرة هناك
1049,جوة,جوة
1050,انا آسف نحن اتملينا لليلة بكرة,انا آسف نحن اتملينا لليلة بكرة
1051,انا مع ناس اصحاب,انا مع ناس اصحاب
1052,على حسب كلام جورو مستر يامادا عنده طفلين,على حسب كلام جورو مستر يامادا عنده طفلين
1053,ممكن تقول تاني,ممكن تقول ثاني
1054,دايرالف في برج لندن,دايرالف في برج لندن
1055,من فضلك اربط حزام مقعدك,من فضلك اربط حزام مقعدك
1056,رقم المنطقة تلاتة رقم الهاتف اتنين تلاتة اربعة تلاتة اربعة صفر صفر,رقم المنطقة ثلاثة رقم الهاتف اثنين ثلاثة اربعة ثلاثة اربعة صفر صفر
1057,اعذرني هل في اي كبرى قريب من هنا,اعذرني هل في اي كبرى قريب من هنا
1058,اعزرني داير استخدم الحمام,اعذرني داير استخدم الحمام
1059,هو تعبان,هو تعبان
1060,هدومه دايما برة الموضة,هدومه دايما برة الموضة
1061,هل عندك اكل بحري,هل عندك اكل بحري
1062,داك غالي شديد,داك غالي شديد
1063,داير لكن آسف ما بقدر اعمله في الزمن دا,داير لكن آسف ما بقدر اعمله في الزمن ده
1064,طيب ما عارف لسة لكن اكيد ح احاول,طيب ما عارف لسا لكن اكيد حاحاول
1065,ملح من فضلك,ملح من فضلك
1066,من فضلك استعمل غرفة القياس هناك,من فضلك استعمل غرفة القياس هناك
1067,تسعين دولار لتزكرة اتجاه واحد كاش ول بطاقة,تسعين دولار لي تزكرة اتجاه واحد كاش ولا بطاقة
1068,ممكن تفضي لي الطربيزة من فضلك,ممكن تفضي لي الطربيزة من فضلك
1069,كيف الوالدين اليابانيين بربو اطفالهم هل هم صارمين مع اطفالهم,كيف الوالدين اليابانيين بربو اطفالهم هل هم صارمين مع اطفالهم
1070,ممكن توريني ساعات العمل,ممكن توريني ساعات العمل
1071,من فضلك لفهم بشكل منفصل,من فضلك لفهم بشكل منفصل
1072,بطني شكلها تقيلة,بطني شكلها تقيلة
1073,داك شكله سمح وين ممكن ننتظرك,داك شكله سمح وين ممكن ننتظرك
1074,ممكن نبدأ اللعب لمن ينتهوا,ممكن نبدأ اللعب لمن ينتهوا
1075,سكان اليابان حوالي مية و عشرين مليون,سكان اليابان حوالي مية و عشرين مليون
1076,املأ البيانات دي في بطاقة التسجيل,املأ البيانات دي في بطاقة التسجيل
1077,ممكن استرجع حاجاتي,ممكن استرجع حاجاتي
1078,هل عندك طرح حريرية انا بفتش لهدية لزوجتي,هل عندك طرح حريرية انا بفتش لي هدية لي زوجتي
1079,ح نجيبه اسي كم رقم غرفتك,حنجيبه اسي كم رقم غرفتك
1080,مستر كوباياشي كان بفتش ليك,مستر كوباياشي كان بفتش ليك
1081,داير اسافر من شانغهاي لي هاواي بالسفينة,داير اسافر من شانغهاي لي هاواي بالسفينة
1082,ممكن ترسل زول,ممكن ترسل زول
1083,ممكن تجهزه الساعة خمسة العصر بكرة,ممكن تجهزه الساعة خمسة العصر بكرة
1084,بياخد عشرة دقايق كداري,بياخد عشرة دقايق كداري
1085,قبل ما اليوم اخلص ممكن تديني دقايق,قبل ما اليوم اخلص ممكن تديني دقايق
1086,وين ممكن ابركن عربيتي,وين ممكن ابركن عربيتي
1087,انا حاسي بي برد و بطني بتوجع شديد,انا حاسي بي برد و بطني بتوجع شديد
1088,سكوتش و موية من فضلك و هل عندك اي وجبة خفيفة,سكوتش و موية من فضلك و هل عندك اي وجبة خفيفة
1089,كيف ممكن اطفي الإضاءة دي,كيف ممكن اطفي الإضاءة دي
1090,هل هو مشغول شديد الليلة,هل هو مشغول شديد الليلة
1091,داير خيط,داير خيط
1092,اديني شهادة طبية من فضلك,اديني شهادة طبية من فضلك
1093,دايرك تعمله اقل بواحد انش هنا,دايرك تعمله اقل بي واحد انش هنا
1094,انا ما حاسي كويس من فضلك اديني شوية دواء,انا ما حاسي كويس من فضلك اديني شوية دواء
1095,ممكن آخد جريدة يابانية من فضلك,ممكن آخد جريدة يابانية من فضلك
1096,كله تمام ممكن اوقف العربية في اي مكان كم سعر التوقيف,كله تمام ممكن اوقف العربية في اي مكان كم سعر التوقيف
1097,ياتو بص بمشي لمركز المدينة,ياتو بص بمشي لي مركز المدينة
1098,هل في اي اكسبريس لي بوسطن,هل في اي اكسبريس لي بوسطن
1099,من فضلك ابقى لي صاحب بالمراسلة,من فضلك ابقى لي صاحب بالمراسلة
1100,ح اقعد مع صاحب,حاقعد مع صاحب
1101,انا متحمس جدا ما قادر اكون قاعد,انا متحمس جدا ما قادر اكون قاعد
1102,ممكن انزل في فندق الهيلتون,ممكن انزل في فندق الهيلتون
1103,دايرك تزحه,دايرك تزحه
1104,امشي شمال بالشارع دا و اخد اول يمين,امشي شمال بالشارع ده و اخد اول يمين
1105,داير اعرف اذا ممكن للطقم دا من الصحون اتشحن لطوكيو,داير اعرف اذا ممكن للطقم ده من الصحون اتشحن لي طوكيو
1106,داير شوية قوة جسد,داير شوية قوة جسد
1107,هل في اي اكل ما حار شديد و سبايسي,هل في اي اكل ما حار شديد و سبايسي
1108,هل هو قريب كفاية للمشي,هل هو قريب كفاية للمشي
1109,داير شوية كريم يد,داير شوية كريم يد
1110,ممكن تمرر لي الملح,ممكن تمرر لي الملح
1111,داير امشي لي وول استريت كيف اصل هناك,داير امشي لي وول استريت كيف اصل هناك
1112,تمارين كتيرة شديد ح تاذيك,تمارين كثيرة شديد حتاذيك
1113,متضمن الفطور ضرائب و رسوم خدمة ح تكون خمسة وأربعين دولار للنفر الواحد,متضمن الفطور ضرائب و رسوم خدمة حتكون خمسة وأربعين دولار للنفر الواحد
1114,ممكن تصلح دا,ممكن تصلح ده
1115,مساء الخير  اهلا,مساء الخير  اهلا
1116,ما قادر القى عفشك,ما قادر القى عفشك
1117,امشي دغري من فضلك,امشي دغري من فضلك
1118,هل الموية هنا صالحة للشرب,هل الموية هنا صالحة للشرب
1119,اااه ياللا دولارين فقط,اااه ياللا دولارين فقط
1120,ممكن من فضلك تغير الفستان دا لواحد مقاس اكبر,ممكن من فضلك تغير الفستان ده لي واحد مقاس اكبر
1121,طيب خلينا نمشي ممكن اساعدك في واجبك المنزلي بعد ناخد شوية بيتزا,طيب خلينا نمشي ممكن اساعدك في واجبك المنزلي بعد ناخد شوية بيتزا
1122,نعم مستر تاناكا في رسالتين ليك,نعم مستر تاناكا في رسالتين ليك
1123,ما بناسبني,ما بناسبني
1124,بكرة يوم تاني,بكرة يوم تاني
1125,امكن اقدر اساعدك هل انت محتاج لي فيتامين سي,امكن اقدر اساعدك هل انت محتاج لي فيتامين سي
1126,محفظتي اتنشلت في القطر,محفظتي اتنشلت في القطر
1127,هو بعيد جدا احسن تاخد تكسي,هو بعيد جدا احسن تاخد تكسي
1128,داير مقعد ممر من فضلك,داير مقعد ممر من فضلك
1129,ساكن في شقة بتمنين الف ين في الشهر,ساكن في شقة بي ثمانين الف ين في الشهر
1130,ممكن اقاطع,ممكن اقاطع
1131,وريني واحد اوسع,وريني واحد اوسع
1132,اعذرني ممكن تبدل المقاعد معاي,اعذرني ممكن تبدل المقاعد معاي
1133,نعم طبعا,نعم طبعا
1134,امشي للكورنة و لف شمال مع الإشارة,امشي للكورنة و لف شمال مع الإشارة
1135,هل بتحب دحروجات صغيرة ولا واحدات اكبر,هل بتحب دحروجات صغيرة ولا واحدات اكبر
1136,داير غرفة سنقل مع حمام بتمنين دولار من فضلك,داير غرفة سنقل مع حمام بي ثمانين دولار من فضلك
1137,داير اخت حاجاتي القيمة في خزنة الفندق,داير اخت حاجاتي القيمة في خزنة الفندق
1138,عندك غرفة متاحة لي الليلة,عندك غرفة متاحة لي الليلة
1139,نعم بس اتأكد ان عندك تزكرتك معاك,نعم بس اتأكد ان عندك تزكرتك معاك
1140,ناس بسيطين بس ح يكونوا في الجولة الاختيارية,ناس بسيطين بس حيكونوا في الجولة الاختيارية
1141,ما يهمك على اي حال من فضلك وديني للمركز بتاع شايناتاون ح احاول القاه براي,ما يهمك على اي حال من فضلك وديني للمركز بتاع شايناتاون حاحاول القاه براي
1142,ناس جداد اتعينوا في ابريل,ناس جداد اتعينوا في ابريل
1143,اتمنى ذلك,اتمنى ذلك
1144,اتنين سكوتش و موية من فضلك,اثنين سكوتش و موية من فضلك
1145,اللاعب منو,اللاعب منو
1146,ممكن تتصل على اذا لقيت شنطي,ممكن تتصل علي اذا لقيت شنطي
1147,للشمال من فضلك,للشمال من فضلك
1148,ممكن تقيف معاي لصورة,ممكن تقيف معاي لي صورة
1149,لا داير تقيده,لا داير تقيده
1150,السن القدام دي بتوجع,السن القدام دي بتوجع
1151,اجد لعبة كمبيوتر لي ولد عمره خمستاشر سنة شنو,اجد لعبة كمبيوتر لي ولد عمره خمستعشر سنة شنو
1152,ح نشوفك بكرة,حنشوفك بكرة
1153,هل هناك كافيتريا ارخص قريبة من هنا,هل هناك كافيتريا ارخص قريبة من هنا
1154,لا لكن شكرا انا حاسي احسن,لا لكن شكرا انا حاسي احسن
1155,هل عندك اي عيش,هل عندك اي عيش
1156,مستواك في الكمان كيف,مستواك في الكمان كيف
1157,صحبي اتزلق و وقع في الحمام,صحبي اتزلق و وقع في الحمام
1158,ممكن اخد طفاية,ممكن اخد طفاية
1159,المسيحية كانت محظورة و البلد كانت مقفولة من باقي العالم,المسيحية كانت محظورة و البلد كانت مقفولة من باقي العالم
1160,داير كم انت,داير كم انت
1161,كوكتيل جمبري ليها و نفس الشي لي انا,كوكتيل جمبري ليها و نفس الشي لي انا
1162,ممكن اخليك توقع هنا و من فضلك بداية هنا,ممكن اخليك توقع هنا و من فضلك بداية هنا
1163,هي سعادة عظيمة لي ان ازور مكاتبك الرئيسية و اعمل نقاش كبير معاك شكرا ليك كتير لتعاونك الطيب,هي سعادة عظيمة لي ان ازور مكاتبك الرئيسية و اعمل نقاش كبير معاك شكرا ليك كثير لي تعاونك الطيب
1164,شخيرك مزعج,شخيرك مزعج
1165,ما بحب اللون دا كله كله ممكن ارجع دا,ما بحب اللون ده كله كله ممكن ارجع ده
1166,اطلع برة الباب داك هناك و انتظر في الموقف رقم ستة,اطلع برة الباب داك هناك و انتظر في الموقف رقم ستة
1167,جداد مشوي من فضلك,جداد مشوي من فضلك
1168,ممكن شوية فلفل,ممكن شوية فلفل
1169,ايوة داير حاجة اقراها,ايوة داير حاجة اقراها
1170,معاك مستر تاكاباشي في غرفة خمسة تسعة وأربعين ممكن ترسل اربعة قارورات من بيرة براوزر من فضلك,معاك مستر تاكاباشي في غرفة خمسة تسعة وأربعين ممكن ترسل اربعة قارورات من بيرة براوزر من فضلك
1171,دي سبعين دولار,دي سبعين دولار
1172,من فضلك اضرب لي فندقي لمن تلقى شنطي,من فضلك اضرب لي فندقي لمن تلقى شنطي
1173,داير مكالمة تصحيني تمنية و نص صباحا من فضلك,داير مكالمة تصحيني ثمانية و نص صباحا من فضلك
1174,ايوة لكن دا كتير شديد و انا اساسا ملان,ايوة لكن ده كثير شديد و انا اساسا ملان
1175,داير شوية غسول فم,داير شوية غسول فم
1176,ما حاسي تمام,ما حاسي تمام
1177,هل انت بتدي اي تخفيض كبير,هل انت بتدي اي تخفيض كبير
1178,طوكيو صفر تلاتة اربع تسعات اربعة خمسة ستة سبعة,طوكيو صفر ثلاثة اربع تسعات اربعة خمسة ستة سبعة
1179,ممكن تساعدني القي حديقة الحيوان,ممكن تساعدني القي حديقة الحيوان
1180,ح توريني اضبطوا كيف,حتوريني اضبطوا كيف
1181,جولة البص بتنتهي حوالي كم,جولة البص بتنتهي حوالي كم
1182,هل بتعرف كيف تستخدم تلفون,هل بتعرف كيف تستخدم تلفون
1183,اكيد عندنا شوية ماركات كتب امريكية اصلية جميلة,اكيد عندنا شوية ماركات كتب امريكية اصلية جميلة
1184,مشغل مكالمات يتكلم ياباني من فضلك,مشغل مكالمات يتكلم ياباني من فضلك
1185,نحن مهتمين بالموضة,نحن مهتمين بالموضة
1186,ممكن تديني دفرة,ممكن تديني دفرة
1187,هل دا الكلنك اف,هل ده الكلنك اف
1188,اهلا انسة ياماقوشي الطرف التاني في الخط مكالمتك اتقبلت اتفضلي من فضلك,اهلا انسة ياماقوشي الطرف الثاني في الخط مكالمتك اتقبلت اتفضلي من فضلك
1189,وين ممكن اشتري تزكرة رفع قسيمة,وين ممكن اشتري تزكرة رفع قسيمة
1190,ح نصل لي لوس انجلوس متين,حنصل لي لوس انجلوس متين
1191,امشي دغري لحوالي خمسة دقائق و لف شمال,امشي دغري لحوالي خمسة دقائق و لف شمال
1192,هو الشارع دا تجاه الشاطئ,هو الشارع ده تجاه الشاطئ
1193,الشاي العشبي دا بساعد في تجديد الجسم,الشاي العشبي ده بساعد في تجديد الجسم
1194,دي ما مصنوعة في اليابان ولا لا,دي ما مصنوعة في اليابان ولا لا
1195,كله تمام الشارع دا من فضلك ح اوديك لغرفتك,كله تمام الشارع ده من فضلك حاوديك لي غرفتك
1196,لازم امشي من الفندق قبل الظهر,لازم امشي من الفندق قبل الظهر
1197,اتنين هامبرقر و قهوتين من فضلك داير اشيلهم برة,اثنين هامبرقر و قهوتين من فضلك داير اشيلهم برة
1198,ممكن اشيل الشنط دي,ممكن اشيل الشنط دي
1199,طلبت لحم ما سمك ممكن تغير دا,طلبت لحم ما سمك ممكن تغير ده
1200,طفلي اتحذر تماما,طفلي اتحذر تماما
1201,انا مريض في المعدة,انا مريض في المعدة
1202,الجاكيت دا ما مقاسي,الجاكيت ده ما مقاسي
1203,داير اقابل مستر ويليام,داير اقابل مستر ويليام
1204,عنده تشكيلة لسبعة فيتامينات و معادن,عنده تشكيلة لي سبعة فيتامينات و معادن
1205,السن ملكلكة,السن ملكلكة
1206,ممكن ارجع قروشي لمن ارجع لليابان,ممكن ارجع قروشي لمن ارجع لليابان
1207,الصحن دا مصنوع من شنو,الصحن ده مصنوع من شنو
1208,ده مصنوع في ياتو بلد,ده مصنوع في ياتو بلد
1209,ممكن تعمله في عشرة دقائق,ممكن تعمله في عشرة دقائق
1210,انا ما كويس في الإنجليزي هل في اي زول هنا بتكلم ياباني,انا ما كويس في الإنجليزي هل في اي زول هنا بتكلم ياباني
1211,وين ممكن القى رمز النفق,وين ممكن القى رمز النفق
1212,عشرين عينة اضافية ح يرسلوا ليك,عشرين عينة اضافية حيرسلوا ليك
1213,ما اظن ان داك لي لأن بشرتي جافة شديد,ما اظن ان داك لي لأن بشرتي جافة شديد
1214,ممكن اجد جدول زمني من فضلك,ممكن اجد جدول زمني من فضلك
1215,ايوة اعتقد اني ح انتظر,ايوة اعتقد اني حانتظر
1216,تسعة وتسعين دولار للساعة للطفل,تسعة وتسعين دولار للساعة للطفل
1217,انا آسف خلصنا,انا آسف خلصنا
1218,لازم يكون هادئ,لازم يكون هادئ
1219,عندى معداتي الخاصة,عندي معداتي الخاصة
1220,مفتاح غرفة خمسة صفر تلاتة من فضلك,مفتاح غرفة خمسة صفر ثلاثة من فضلك
1221,ياتو زمن ترمنال مان بكون معروض,ياتو زمن ترمنال مان بكون معروض
1222,وين الحلاق,وين مصففين الشعر
1223,عند الساعة سبعة من فضلك,عند الساعة سبعة من فضلك
1224,شنطتي اتدمرت,شنطتي اتدمرت
1225,سياحة,سياحة
1226,انا جيت من اسبانيا,انا جيت من اسبانيا
1227,في حاجة غلط في مفتاح البطاقة ممكن تديني واحد تاني من فضلك,في حاجة غلط في مفتاح البطاقة ممكن تديني واحد ثاني من فضلك
1228,عندي طفح في يديني,عندي طفح في يديني
1229,رسل دي جويا لليابان من فضلك,رسل دي جويا لليابان من فضلك
1230,وين اقرب صيدلية,وين اقرب صيدلية
1231,خمرة تانية من فضلك,خمرة ثانية من فضلك
1232,ناس ودودين جدا,ناس ودودين جدا
1233,كم مشروب متضمن في السعر,كم مشروب متضمن في السعر
1234,انت عملتها,انت عملتها
1235,وين بوابة الدخول للرحلة دي,وين بوابة الدخول للرحلة دي
1236,لو في ممكن تحجز طربيزة جنب الشباك,لو في ممكن تحجز طربيزة جنب الشباك
1237,اعلانات الأربعاء كانت اساسا معمولة,اعلانات الأربعاء كانت اساسا معمولة
1238,نحن في ارتفاع اتناشر الف قدم,نحن في ارتفاع اتنعشر الف قدم
1239,اولا دايرين نشوف وول استريت,اولا دايرين نشوف وول استريت
1240,وين موقف البص لاكسفورد,وين موقف البص لاكسفورد
1241,ح انتظر لحدي ما الشرفة تفضى,حانتظر لحدي ما الشرفة تفضى
1242,ممكن نشوف محافظ جلدية,ممكن نشوف محافظ جلدية
1243,خلينا نحضر التلفزيون في لعبة بيسبول شغالة,خلينا نحضر التلفزيون في لعبة بيسبول شغالة
1244,ممكن تكتب عنوانك هنا,ممكن تكتب عنوانك هنا
1245,من فضلك وريني وين اقرب صيدلية,من فضلك وريني وين اقرب صيدلية
1246,لي فندقي من فضلك عنوان فندقي هنا,لي فندقي من فضلك عنوان فندقي هنا
1247,في كم ولاية غير طوكيو,في كم ولاية غير طوكيو
1248,اقفل الخط و انتظر شوية من فضلك,اقفل الخط و انتظر شوية من فضلك
1249,انت عادة بتعمل شنو في البيت بعد العشاء,انت عادة بتعمل شنو في البيت بعد العشا
1250,بالتأكيد متين داير تلعب قولف,بالتأكيد متين داير تلعب قولف
1251,هي ح تكون في البيت حوالي تلاتة,هي حتكون في البيت حوالي ثلاثة
1252,داير اتصل بالسفارة اليابانية,داير اتصل بالسفارة اليابانية
1253,زيادة شوية,زيادة شوية
1254,من وين بتغادر بصات معالم المدينة,من وين بتغادر بصات معالم المدينة
1255,كم بتشحن عشان اترسلو لليابان,كم بتشحن عشان اترسلو لليابان
1256,ما عندي اندية او جزم,ما عندي اندية او جزم
1257,هل الين الياباني تمام,هل الين الياباني تمام
1258,هل عندك موستاج,هل عندك موستاج
1259,نحن ح ننط من هنا,نحن حننط من هنا
1260,مستر كاواي عندنا طربيزة ليك الآن تعال من هنا من فضلك,مستر كاواي عندنا طربيزة ليك الآن تعال من هنا من فضلك
1261,بالتأكيد امشي بالسلالم تحت هناك و ح تشوف بعض التعليمات بس تابعهم,بالتأكيد امشي بالسلالم تحت هناك و حتشوف بعض التعليمات بس تابعهم
1262,مكتب الاستقبال ممكن اساعدك,مكتب الاستقبال ممكن اساعدك
1263,ممكن تنزلني في فندق الهلتون من فضلك,ممكن تنزلني في فندق الهلتون من فضلك
1264,هل انت دايما بتشتغل متأخر,هل انت دايما بتشتغل متأخر
1265,اسف جدا لكن ما عندنا ثاني اوراق انجليزية تنفع,اسف جدا لكن لكن ما عندنا تاني كيف عن اوراق انجليزية
1266,طربيزة لغير المدخنين من فضلك,طربيزة لغير المدخنين من فضلك
1267,ممكن تخليني اعرف قبل ما نصل دورام,ممكن تخليني اعرف قبل ما نصل دورام
1268,دا فريش,دا فريش
1269,ما صاح انت دائما بتعاملني,ما صاح انت دايما بتعاملني
1270,ممكن اوريك شوية فساتين,ممكن اوريك شوية فساتين
1271,اتهجاه من فضلك,اتهجاه من فضلك
1272,انا سكرت,انا سكرت
1273,خلي بالك لأن الجو متغير شديد في الجبال,خلي بالك لأن الجو متغير شديد في الجبال
1274,شيك سياحي و ين ياباني اوكي,شيك سياحي و ين ياباني اوكي
1275,آسف انا اتحققت من خدمة الغرف وقسم المفقودات ما موجود عندهم,آسف انا اتحققت من خدمة الغرف وقسم المفقودات ما موجود عندهم
1276,حته صعب تلقاها هي في شارع فرعي,حته صعب تلقاها هي في شارع فرعي
1277,ما بعرف شي عنه,ما بعرف شي عنه
1278,ممكن نناقشه في مقهى,ممكن نناقشه في مقهى
1279,فهمت في الحالة ديك انا ما علي دفع سعر التعديلات صاح,فهمت في الحالة ديك انا ما علي دفع سعر التعديلات صاح
1280,موظف المكالمات من فضلك,موظف المكالمات من فضلك
1281,ممكن توطي السرج من فضلك,ممكن توطي السرج من فضلك
1282,هل حتستضيفني عندك الليلة,هل حتستضيفني عندك الليلة
1283,اوكي ح اخد فقط دقيقتين شكرا ليك,اوكي حاخد فقط دقيقتين شكرا ليك
1284,دي فاتورتك تلتمية وسبعة وتسعين دولار,دي فاتورتك ثلثمية وسبعة وتسعين دولار
1285,انت محظوظ,انت محظوظ
1286,من فضلك خليها طربيزة مع منظر ليلى جيد,من فضلك خليها طربيزة مع منظر ليلي جيد
1287,هل دا صنع آلي ول صنع يدوي,هل دا صنع آلي ولا صنع يدوي
1288,داير اأجر النوع دا من العربية لأربعة وعشرين ساعة,داير اأجر النوع ده من العربية لي أربعة وعشرين ساعة
1289,كان جميل جدا الاقيك,كان جميل جدا الاقيك
1290,ده مشرط,ده مشرط
1291,تمام اسي خلينا نعاين ليك,تمام اسي خلينا نعاين ليك
1292,طيب بس فكر كم من الزمن شغله ح ياخد لو هو سأل سؤال واحد اضافي لكل زول ياللا خلينا نسرع و نجيب عفشنا ومفروض نمشي لاجراءات الجمارك,طيب بس فكر كم من الزمن شغله حياخد لو هو سأل سؤال واحد اضافي لي كل زول يلا خلينا نسرع و نجيب عفشنا ومفروض نمشي لي اجراءات الجمارك
1293,الوزن كم,الوزن كم
1294,هل في كافيتريا صينية حوالي هنا,هل في كافيتريا صينية حوالي هنا
1295,رصيف خمسة هناك,رصيف خمسة هناك
1296,الكورة ح تبدأ متين,الكورة حتبدا متين
1297,كاميرتي ما شغالة ممكن تشوفها,كاميرتي ما شغالة ممكن تشوفها
1298,قهوة بكريم و سكر من فضلك,قهوة بي كريم و سكر من فضلك
1299,اعتقد انه في شوية اخطاء في الفاتورة,اعتقد انه في شوية أخطاء في الفاتورة
1300,من فضلك اديني الواحد داك,من فضلك اديني الواحد داك
1301,دي بوابة سبعة,دي بوابة سبعة
1302,هل انت اسكتلندي,هل انت اسكتلندي
1303,تلاتة-اتنين-واحد-اتنين انتظر ثانية كله تمام داير ارسل ليك حاجة هنا اعذرني,ثلاثة-اثنين-واحد-اثنين انتظر ثانية كله تمام داير ارسل ليك حاجة هنا اعذرني
1304,مئة و خمسة وتلاتين ين للدولار,مية و خمسة وثلاثين ين للدولار
1305,فساتين قصيرة مع بوت ما ح تطلع برة الموضة ابدا,فساتين قصيرة مع بوت ما حتطلع برة الموضة ابدا
1306,ممكن اتكلم مع المدير,ممكن اتكلم مع المدير
1307,لي اجرتك مخالفة للعداد,ليه اجرتك مخالفة للعداد
1308,ممكن اشوف الواحد دا,ممكن اشوف الواحد ده
1309,وعدت نفسي انو لمن اشوفك حاعرفك,وعدت نفسي انو لمن اشوفك حاعرفك
1310,الحاصل شنو,الحاصل شنو
